sound_class_list,output,File_Name
[2],N,Dog7_2.wav
"[2, 7]",N,Dog7_2.wav
"[2, 7, 1]",N,Dog7_2.wav
"[2, 7, 1, 7]",N,Dog7_2.wav
"[2, 7, 1, 7, 2]",N,Dog7_2.wav
"[2, 7, 1, 7, 2, 8]",N,Dog7_2.wav
"[2, 7, 1, 7, 2, 8, 7]",N,Dog7_2.wav
"[2, 7, 1, 7, 2, 8, 7, 7]",N,Dog7_2.wav
"[2, 7, 1, 7, 2, 8, 7, 7, 4.0]",Y,Dog7_2.wav
[7],N,Dog7_2.wav
"[7, 1]",N,Dog7_2.wav
"[7, 1, 7]",N,Dog7_2.wav
"[7, 1, 7, 2]",N,Dog7_2.wav
"[7, 1, 7, 2, 8]",N,Dog7_2.wav
"[7, 1, 7, 2, 8, 7]",N,Dog7_2.wav
"[7, 1, 7, 2, 8, 7, 7]",N,Dog7_2.wav
"[7, 1, 7, 2, 8, 7, 7, 4.0]",Y,Dog7_2.wav
[1],N,Dog7_2.wav
"[1, 7]",N,Dog7_2.wav
"[1, 7, 2]",N,Dog7_2.wav
"[1, 7, 2, 8]",N,Dog7_2.wav
"[1, 7, 2, 8, 7]",N,Dog7_2.wav
"[1, 7, 2, 8, 7, 7]",N,Dog7_2.wav
"[1, 7, 2, 8, 7, 7, 4.0]",Y,Dog7_2.wav
[7],N,Dog7_2.wav
"[7, 2]",N,Dog7_2.wav
"[7, 2, 8]",N,Dog7_2.wav
"[7, 2, 8, 7]",N,Dog7_2.wav
"[7, 2, 8, 7, 7]",N,Dog7_2.wav
"[7, 2, 8, 7, 7, 4.0]",Y,Dog7_2.wav
[2],N,Dog7_2.wav
"[2, 8]",N,Dog7_2.wav
"[2, 8, 7]",N,Dog7_2.wav
"[2, 8, 7, 7]",N,Dog7_2.wav
"[2, 8, 7, 7, 4.0]",Y,Dog7_2.wav
[8],N,Dog7_2.wav
"[8, 7]",N,Dog7_2.wav
"[8, 7, 7]",N,Dog7_2.wav
"[8, 7, 7, 4.0]",Y,Dog7_2.wav
[7],N,Dog7_2.wav
"[7, 7]",N,Dog7_2.wav
"[7, 7, 4.0]",Y,Dog7_2.wav
[7],N,Dog7_2.wav
"[7, 4.0]",Y,Dog7_2.wav
[4.0],Y,Dog7_2.wav
[9],N,Dog7_3.wav
"[9, 2]",N,Dog7_3.wav
"[9, 2, 2]",N,Dog7_3.wav
"[9, 2, 2, 8]",N,Dog7_3.wav
"[9, 2, 2, 8, 1]",N,Dog7_3.wav
"[9, 2, 2, 8, 1, 2]",N,Dog7_3.wav
"[9, 2, 2, 8, 1, 2, 7]",N,Dog7_3.wav
